Department,LPO NO,Check,x,NAME OF THE SUPPLIER, AMOUNT ,Date,TENDER NO.
HCDA,10303,10303,TRUE,Postal Corporation of Kenya,"58,000.00",19-Oct-2021,CONTRACT
HCDA,10304,10304,TRUE,Koba Waters Limited,"31,000.00",19-Oct-2021,CONTRACT
HCDA,10305,10305,TRUE,Toyota Kenya Limited,"170,524.00",19-Oct-2021,CONTRACT
HCDA,10306,10306,TRUE,Antarc Limited,"55,192.80",21-Oct-2021,RBA/RFQ/FURNITURE/613/1373/2021
HCDA,10307,10307,TRUE,Furniture Elegance Limited,"47,400.00",21-Oct-2021,RBA/RFQ/FURNITURE/613/1373/2021
HCDA,10308,10308,TRUE,Fast Choice Ltd,"125,000.00",21-Oct-2021,RBA/RFQ/FURNITURE/613/1373/2021
HCDA,10309,10309,TRUE,Technology Today,"42,456.00",25-Oct-2021,
Legal,10310,10310,TRUE,Nyaanga & Mugisha Advocates,"320,000.00",25-Oct-2021,
MC,10311,10311,TRUE,The Noble Conference Centre Limited,"92,000.00",10-Apr-2021,RBA/RFQ/CONFERENCE/613/13105/2021
,Missing,10312,FALSE,,,0-Jan-1900,
,Missing,10313,FALSE,,,0-Jan-1900,
HCDA,10314,10314,TRUE,Reeziky Merchants,"76,851.00",27-Oct-2021,CONTRACT
HCDA,10315,10315,TRUE,Reeziky Merchants,"199,611.00",27-Oct-2021,CONTRACT
CC,10316,10316,TRUE,Botinani Productions,"31,500.00",27-Oct-2021,RBA/LVP/EXECUTIVEPHOTOS/613/27/10/2021
MC,10317,10317,TRUE,PineHill Consulting Limited,"335,000.00",29-Oct-2021,CONTRACT
MC,10318,10318,TRUE,Psychological Health Services,"460,000.00",29-Oct-2021,CONTRACT
MC,10319,10319,TRUE,PineHill Consulting Limited,"746,300.00",29-Oct-2021,CONTRACT
HCDA,10320,10320,TRUE,Mr. Waithaka Waihanya,"25,000.00",29-Oct-2021,RBA/LVP/PROOFREADING/613/29/10/2021
,Missing,10321,FALSE,,,0-Jan-1900,
,Missing,10322,FALSE,,,0-Jan-1900,
,Missing,10323,FALSE,,,0-Jan-1900,
,Missing,10324,FALSE,,,0-Jan-1900,
,Missing,10325,FALSE,,,0-Jan-1900,
,Missing,10326,FALSE,,,0-Jan-1900,
,Missing,10327,FALSE,,,0-Jan-1900,
,Missing,10328,FALSE,,,0-Jan-1900,
,Missing,10329,FALSE,,,0-Jan-1900,
,Missing,10330,FALSE,,,0-Jan-1900,
,Missing,10331,FALSE,,,0-Jan-1900,
,Missing,10332,FALSE,,,0-Jan-1900,
,Missing,10333,FALSE,,,0-Jan-1900,
,Missing,10334,FALSE,,,0-Jan-1900,
Research,10335,10335,TRUE,Sarova Whitesands Beach resort,"240,000.00",11-Feb-2021,RBA/RFQ/CONFERENCE/613/1409/2021
Research,10336,10336,TRUE,Golden Jubilee Limited,"234,000.00",11-Feb-2021,RBA/RFQ/CONFERENCE/613/1403/2021
Research,10337,10337,TRUE,The Kyaka Hotel,"228,000.00",11-Feb-2021,RBA/RFQ/CONFERENCE/613/1408/2021
Research,10338,10338,TRUE,The Vic Hotel,"165,000.00",11-Feb-2021,RBA/RFQ/CONFERENCE/613/1405/2021
CC,10339,10339,TRUE,Government Advertising Agency,"361,515.00",11-Feb-2021,
Legal,10340,10340,TRUE,Prof. Albert Mumma & Co. Advocates,"200,000.00",11-Mar-2021,RBA/RFQ/LEGALSERVICES/613/1413/2021
CC,10341,10341,TRUE,Southern Hills Development Agency,"116,000.00",11-Mar-2021,RBA/RT/RADIOINTERVIEW/613/1414/2021
